row,senator,senatorId,party
1,Thomas H Tuberville,100,Republican
2,Thomas R Carper,101,Democratic
3,Daniel S Sullivan,102,Republican
4,Rick Scott,103,Republican
5,John Boozman,104,Republican
6,"A. Mitchell Mcconnell, Jr.",105,Republican
7,Susan M Collins,106,Republican
8,"William F Hagerty, Iv",107,Republican
9,Gary C Peters,108,Democratic
10,Mark R Warner,109,Democratic
11,Shelley M Capito,110,Republican
12,Debra S Fischer,111,Republican
13,Lindsey Graham,112,Republican
14,John W Hickenlooper,113,Democratic
15,Tina Smith,114,Democratic
16,John R Thune,115,Republican
17,Christopher A Coons,116,Democratic
18,Patrick J Toomey,118,Republican
19,"Jerry Moran,",119,Republican
20,Jacklyn S Rosen,120,Democratic
21,Roy Blunt,121,Republican
22,Roy D Blunt,121,Republican
23,Cynthia M Lummis,122,Republican
24,Sheldon Whitehouse,123,Democratic
25,Roger W Marshall,124,Republican
26,John Hoeven,125,Republican
27,Rand Paul,126,Republican
28,Michael F Bennet,128,Democratic
29,Mike Rounds,129,Republican
30,Richard M Burr,130,Republican
31,James M Inhofe,132,Republican
32,Pat Roberts,133,Republican
33,William Cassidy,134,Republican
34,Richard Blumenthal,135,Democratic
35,"David A Perdue , Jr",136,Republican
36,Kelly Loeffler,137,Republican
37,Timothy M Kaine,138,Democratic
38,Jeanne Shaheen,139,Democratic
39,Ron Johnson,140,Republican
40,Roger F Wicker,141,Republican
41,Dianne Feinstein,142,Democratic
42,Lamar Alexander,143,Republican
43,John N Kennedy,144,Republican
44,Thomas Udall,146,Democratic
45,Tom S Udall,146,Democratic
46,John F Reed,147,Democratic
47,Thomas R Tillis,148,Republican
48,John A Barrasso,149,Republican
49,"Robert P Casey, Jr.",150,Democratic
50,Robert J Portman,151,Republican
51,Benjamin L Cardin,152,Democratic
52,Ladda Tammy Duckworth,153,Democratic
53,Tammy Duckworth,153,Democratic
54,"Joseph Manchin, Iii",154,Democratic
55,Michael D Crapo,155,Republican
56,Patty Murray,156,Democratic
57,Steve Daines,157,Republican
58,Chris Van Hollen,158,Democratic
59,John Cornyn,159,Republican
60,Maria Cantwell,160,Republican
61,Maria E Cantwell,160,Republican
62,Cory A Booker,162,Democratic
63,Ron L Wyden,163,Democratic
64,Ron Wyden,163,Democratic
65,Ronald L Wyden,163,Democratic
66,Jack Reed,164,Democratic
67,Angus S King,165,Democratic
68,"Angus S King, Jr.",165,Democratic
69,Thad Cochran,166,Republican
70,Michael  B Enzi,170,Republican
71,Michael B Enzi,170,Republican
72,Rafael E Cruz,171,Republican
73,Rafael Edward (Ted) Cruz,171,Republican
74,Elizabeth Warren,172,Democratic
75,Richard C Shelby,173,Republican
